Sintoma 1,Sintoma 2,Doença Associada
dor no peito,irradia braço,Infarto
cansaço constante,fadiga,Insuficiência Cardíaca
falta de ar,dificuldade respirar,Angina
aperto no tórax,desconforto peito,Angina
palpitações,batimentos irregulares,Arritmia
pernas inchadas,peso nas pernas,Insuficiência Cardíaca
desmaio,tontura,Síncope Cardíaca
náusea,suor frio,Infarto
tosse persistente,piora ao deitar,Insuficiência Cardíaca
dor nas costas,dificuldade respirar,Embolia Pulmonar
batimento lento,pulso fraco,Bradicardia
batimento acelerado,coração disparado,Taquicardia
pontada no peito,dor ao respirar,Pericardite
tontura extrema,visão embaçada,Hipotensão Severa
dor na mandíbula,dor no pescoço,Infarto (Sintoma Atípico)
inchaço abdominal,retenção líquidos,Insuficiência Direita
pele azulada,cianose,Hipóxia / Insuficiência
chiado no peito,respiração curta,Edema Pulmonar
dor forte súbita,dor rasgando,Dissecção de Aorta
cansaço ao falar,falta de ar repouso,Insuficiência Grave
febre persistente,dor articular,Febre Reumática
palpitação forte,tremor no peito,Fibrilação Atrial
fraqueza súbita,perda de força,AVC (Alerta Cardiovascular)
dor após comer,queimação tórax,Diagnóstico Diferencial (Refluxo)
batimento extra,falha no pulso,Extrassístole
dor que migra,dor intercostal,Neuralgia
cansaço matinal,sono não reparador,Apneia (Risco Cardíaco)
veias saltadas,estase jugular,Insuficiência Cardíaca
dor aguda lateral,dor ao tossir,Pleurisia
suor excessivo,pele pálida,Choque Cardiogênico
