Frase,Situação
sinto dor aguda no peito e falta de ar,alto risco
estou com uma leve dor de cabeça,baixo risco
dor no peito que irradia para o braço,alto risco
sinto um cansaço leve após o trabalho,baixo risco
desmaiei e meu coração está muito acelerado,alto risco
tive um pequeno desconforto muscular nas costas,baixo risco
falta de ar severa e suor frio agora,alto risco
meu pé está com uma coceira leve,baixo risco
pressão no peito muito forte e tontura,alto risco
sinto apenas um leve incômodo ao respirar fundo,baixo risco
meu braço esquerdo está formigando e dói o peito,alto risco
estou com um pouco de coriza e espirros,baixo risco
sinto que meu coração vai sair pela boca,alto risco
bati o joelho e está um pouco roxo,baixo risco
não consigo respirar nem sentado,alto risco
tive uma leve azia depois do jantar,baixo risco
dor no peito parece que estão apertando com um nó,alto risco
sinto uma dor muscular após a academia,baixo risco
visão escureceu e caí no chão de repente,alto risco
estou com uma leve irritação na garganta,baixo risco
dor nas costas muito forte e falta de ar súbita,alto risco
sinto um cansaço normal de fim de dia,baixo risco
batimentos estão muito descompassados e lentos,alto risco
tenho uma pequena mancha na pele que coça,baixo risco
suor frio abundante e palidez súbita,alto risco
sinto um leve desconforto no estômago,baixo risco
dor no peito que piora muito ao caminhar,alto risco
estou com soluço há alguns minutos,baixo risco
rosto está formigando e fala está enrolada,alto risco
sinto uma leve pressão nos olhos,baixo risco
falta de ar acompanhada de tosse com sangue,alto risco
estou com um pouco de gases hoje,baixo risco
dor lancinante no centro do peito,alto risco
sinto uma leve câimbra na panturrilha,baixo risco
pernas muito inchadas e coração pesado,alto risco
tive uma leve tontura ao levantar rápido demais,baixo risco
aperto no peito e náusea forte,alto risco
sinto um formigamento leve na ponta dos dedos,baixo risco
respiração muito curta e ruidosa,alto risco
estou com sono acumulado da semana,baixo risco
